exhibitor_id,name,booth_numbers,num_booths,description,website,categories,products,year,has_website,has_description
630,"Ashirase, Inc.",,0,"We provide ""ASHIRASE,"" a walking navigation system using an IoT device for people with low vision, available on iOS.",https://www.ashirase.com/,Assistive Mobility; Blind/Low Vision; Cognitive; Daily Living,,2024,True,True
610,Audible Sight,,0,"Make the world more accessible, one video at a time. Audible Sight is the first-ever audio description solution for the general public. No technical skills or experience is required. Audible Sight leverages AI technology and lifelike synthetic voices. Now, anyone can create audio descriptions for their videos. Help to bridge the gap in accessibility for the visually impaired. Try Audible Sight for free: audiblesight.ai",http://audiblesight.ai,Blind/Low Vision; Educational Software; Software,,2024,True,True
618,Autonomous Living Technologies,,0,"AULI.TECH designs open-source applications and devices enabling individuals to overcome neuromuscular and vocal impairments. We leverage complex AI and Robotics technologies running in the cloud, consumer devices, and wearable gear to create low-cost, accessible solutions.",http://auli.tech,AAC; Assistive Mobility; Daily Living; Other,,2024,True,True
577,Awarewolf Gear,,0,"Originally designed for the backcountry trails of Sedona, Arizona, the All-Terrain Cane (ATC) excels everywhere life takes you. Whether you're taking a stroll down the block, at the beach, on snowy sidewalks, your grandchild's playground, or on the trails, the ATC gives you the power to explore where other mobility canes wouldn't dream to go. The ATC features traditional white and red reflective materials as users are accustomed to, and much more.
Introducing the Urban Xplorer series for 2024.",http://www.AwarewolfGear.com,Assistive Mobility; Blind/Low Vision; Daily Living,,2024,True,True
566,AYES,619,1,"AYES provides an AI application, called oko, that helps visually impaired people navigate their environment safely and independently. Our oko app makes every traffic light accessible by detecting the traffic light and bringing that information back to the user using audio and haptic feedback.
Our oko app has helped cross more than 2 million streets to date and is growing rapidly. Join our booth 619 to learn more about the future of the oko app.",http://www.ayes.ai,Blind/Low Vision,,2024,True,True
349,BarrierBreak & 247 Accessible Documents,,0,"BarrierBreak & 247 Accessible Documents deliver digital accessibility solutions globally. Our Digital Accessibility solutions include Accessibility Testing, Audit services & VPAT Creation. Our accessible document remediation services ensure that your PDF, Word, PowerPoint & Excel documents are accessible. As the Leaders in Offshore Digital Accessibility Testing & Consulting, we manage your costs while maintaining quality to meet WCAG Conformance & Section 508 compliance.",http://www.barrierbreak.com,Agencies/Services; Blind/Low Vision; Other,,2024,True,True
631,Bellman & Symfon,,0,"Autonomy through technology. 

We are driven to make a difference for hard-of-hearing and deaf people. 

We realize this by offering a wide range of solutions such as smart home systems, hearing amplifiers, alarm clocks, telecom access tools, and safety devices including smoke and carbon monoxide detectors, that empower people to stay safe, independent, and socially active. 

We invite you to visit shop.bellman.com for more information and to book a demo.",http://shop.bellman.com,Deaf & Hard of Hearing,,2024,True,True
590,biped.ai,,0,"biped is an all-in-one mobility device for people with low vision. A harness, worn on the shoulders, can detect obstacles and holes, describe the surroundings with AI, and provide GPS navigation instructions.",http://biped.ai,Assistive Mobility; Blind/Low Vision,,2024,True,True
604,Blazie Technologies LLC,,0,"BT Speak, a Braille pocket computer.",http://Blazietech.com,Blind/Low Vision,,2024,True,True
626,Blind CAN Film Festival,,0,"The Blind Can Film Festival features the stories of people who are blind and the tools we utilize to get to work and play, our featured presentation is the Blind Canvas Project, combining amazing works of art created from the minds of storytellers who are blind as part of a feature film by blind Filmmaker Ben Fox.",http://Www.blindcan.org,Blind/Low Vision,,2024,True,True
522,BlindShell USA,,0,"We've created the world's best all-in-one accessible cell phone that provides greater independence, freedom to express, and the ability to communicate however you desire. It's time to join the BlindShell community and see what all the buzz is about. Physical keypad, tactile buttons, enhanced loudspeaker, menu-driven, and more.
Some of our featured essential apps are available on the BlindShell Classic 2.
Aira, Alexa, Be My AI, BARD Mobile, Google Lookout, ScripTalk, Sero, WayAround, Zoom.",http://BlindShellUSA.com,Alternative Input/Keyboard Devices; Assistive Mobility; Blind/Low Vision; Daily Living; Deaf & Hard of Hearing; Educational Software; Learning Disabilities; Software; Telecommunication Devices,,2024,True,True
79,HumanWare,,0,"HumanWare, a member of EssilorLuxottica, creates solutions empowering people with vision loss. Since 1988, HumanWare has developed assistive technologies such as video magnifiers, braille devices, audio assistants, and GPS, helping students, seniors, and professionals with visual impairments to see the world differently and gain greater autonomy.",http://www.humanware.com,Assistive Mobility; Blind/Low Vision; Daily Living; Deaf & Hard of Hearing,,2024,True,True
593,Braille Institute of America,,0,"The Braille Institute is the leading agency for blind and low-vision people in southern California, with seven centers for in-person, one-on-one instruction and group classes. We now provide remote services around the world! With a mission to lead people toward independence and pursuing life goals, our programs include access technology, braille instruction, cane travel, Independent Living Skills, library services, Occupational Therapy, arts and music, and social support groups.",http://www.brailleinstitute.org,Agencies/Services; Blind/Low Vision; Daily Living; Other,,2024,True,True
624,"Brava Home, Inc.",,0,"The Brava Smart Oven transforms home cooking for AT users of all abilities with safe, automated technology. With guided recipes and an integrated app for unparalleled ease of use, it cooks full meals 2-4x faster (with the press of a button) using patented Pure Light Cooking™ Technology. Constant software enhancements expand capabilities, improving access and experience for the AT community.",http://www.brava.com ,AAC; Blind/Low Vision; Cognitive; Daily Living; Deaf & Hard of Hearing; Learning Disabilities; Software,,2024,True,True
475,California School for the Blind,,0,"In addition to on-site educational programs, the California School for the Blind maintains an extensive outreach program that provides no-cost consultation, assessment, training, and technical assistance for educational teams and families of visually impaired students throughout the state. AT specialists are available in person, via email, online, or by phone to identify student technology needs and provide support and training. Free how-to guides are available on various software and devices.",http://www.csb-cde.ca.gov,Agencies/Services; Blind/Low Vision,,2024,True,True
510,"California State University, Northridge - ATHS Graduate Program",,0,"Empower those in need with ATHS degrees from CSUN. The M.S. in Assistive Technology and Human Services program will teach the latest social, medical, legal, and practical knowledge for those who assist persons with disabilities and prepare you for a career focused on enhancing the lives of those who rely on assistive technology devices. Learn more at https://go.csun.edu/ATHS",http://www.calstate.edu/,Other,,2024,True,True
613,Case for Vision LLC,,0,"At Case For Vision, we design and manufacture assistive devices for visually impaired people or those with age-related vision loss. Our mission is to offer affordable and intuitive alternatives to the expensive magnifiers currently on the market. Case For Vision and its sister company, Stand For Vision, are distributors of popular assistive devices from leading European manufacturers, such as VisioBraille and Kobavision.",http://www.caseforvision.com,Blind/Low Vision,,2024,True,True
586,CATT,,0,"CATT (Center for Assistive Technology Training) offers complimentary training in Assistive Technology for educators, parents, and students. We emphasize the ""train the trainer"" approach, with a special focus on products tailored for individuals with visual impairments or blindness.",http://seeitourway.org/services/catt/,Blind/Low Vision,,2024,True,True
548,Chax Training and Consulting,,0,"Document Accessibility experts Chad Chelius and Dax Castro (Chax) provide Accessibility training for Adobe and Microsoft software for businesses looking to train their teams or implement an accessibility program within their organization. Simply put, we solve document accessibility problems.",http://www.accessibilityunraveled.com,Agencies/Services,,2024,True,True
579,Clix Therapy,,0,"Clix - Reusable Body Treatment is a hot & cold therapy product with various uses. Clix therapy products are helpful for rehabilitation practices in minor injuries where heat therapy is directed for use. The instant heat pad can loosen and soothe muscle injuries and stiff joints. Meanwhile, the cool pad works to reduce swelling that causes inflammation.",http://www.clixtherapy.com,Other,,2024,True,True
509,Continual Engine LLC,,0,"Continual Engine is dedicated to building transformative accessibility and learning process automation solutions that provide high-quality, affordable, and scalable experiences. We leverage award-winning technologies like PREP, Invicta, and other proprietary tools to automate, fast-track, and bring exponential cost savings to our clients for accessible documents, images, videos, courses, and more. Contact us to learn how we can help accessibility professionals do more with less.",http://continualengine.com,Agencies/Services; Blind/Low Vision; Cognitive; Educational Software; Learning Disabilities; Software,,2024,True,True
635,Convo,,0,"Founded in March 2009, Convo is the world’s largest Deaf-owned business with over 500 employees serving five countries in ten different languages.

At Convo, we believe that conversations are the key to enhancing the lives of 70 million Deaf individuals and the people around them. By creating communication solutions to address the experience deprivation that many Deaf people face, we can have a lasting and positive impact on their daily lives.",http://www.convorelay.com,Agencies/Services; Deaf & Hard of Hearing; Telecommunication Devices,,2024,True,True
162,Crawford Technologies Inc.,,0,"Ensure your communications reach a wide audience and are easily understood! Our offerings enable the delivery of large volumes of documents in accessible formats such as WCAG-compliant Accessible PDF, PDF/UA, braille, Reflowable Large Print, and audio, along with high-speed language translations between over 120 languages. Say goodbye to language and communication obstacles – we empower you to connect with individuals in their preferred accessible format and language, true inclusion.",http://www.crawfordtech.com,Blind/Low Vision; Daily Living; Software,,2024,True,True
546,CViConnect,,0,"The development team at LifeScience Technologies, led by teachers for the visually impaired and leading CVI researchers, has designed the newly released CViConnect PRO. CViConnect PRO is an innovative system providing accessible Activities designed to meet the unique needs of learners with CVI.",http://cviconnect.co,Blind/Low Vision; Daily Living; Educational Software; Other; Software,,2024,True,True
561,CVS Health,,0,"Visit the CVS Health booth to learn more about our work developing accessibility open-source software and for a hands-on demo of Spoken Rx®, a breakthrough feature on the CVS Pharmacy® app that reads prescription information aloud in English or Spanish via radio-frequency identification (RFID) technology. Spoken Rx is an important aid for patients with complete blindness, significant visual impairment, literacy or language difficulties, or dyslexia.",http://www.cvshealth.com,Blind/Low Vision; Software; Telecommunication Devices,,2024,True,True
583,Defense Intelligence Agency - DIA,,0,"Our diverse workforce is skilled in military history and doctrine, economics, physics, chemistry, world history, political science, bio-sciences, and computer sciences. We travel the world, meeting and working closely with professionals from foreign countries.
DIA provides military intelligence to warfighters, defense policymakers, and force planners in the Department of Defense and Intelligence Community in support of U.S. military planning and operations and weapon systems acquisition.",http://www.DIA.mil,,,2024,True,True
569,Described and Captioned Media Program,,0,"DCMP is the nation’s leading source of accessible educational videos. Families and school personnel with at least one early learner to Grade 12 student with a disability can register for free access to thousands of videos. DCMP also provides media accessibility information, guidelines for captioning and describing media, and eLearning resources for professional development.",http://www.dcmp.org,Blind/Low Vision; Deaf & Hard of Hearing; Learning Disabilities,,2024,True,True
266,"Designs for Vision, Inc.",,0,"Designs for Vision, Inc. is a manufacturer of Low Vision devices. We offer cosmetically appealing options in telescopic and microscopic glasses that will enhance your usable vision to allow you to perform routine daily tasks like watching TV, reading, spotting signs in the distance, seeing faces, working on the computer, etc.",http://www.designsforvision.com,Blind/Low Vision,,2024,True,True
591,Disability Rights California,,0,"Disability Rights California - Protecting and advancing the rights of individuals with disabilities across California for more than 40 years.
Our Mission: Disability Rights California (DRC) defends, advances, and strengthens the rights and opportunities of people with disabilities.",http://www.disabilityrightsca.org,Agencies/Services,,2024,True,True
53,Dolphin Computer Access,418,1,"Dolphin assistive technology products are designed to improve accessibility and independence on computers, tablets and phones, for people with a wide range of print disabilities. This includes screen readers for people who are blind, magnification for those with low vision and an accessible reader for those with any print impairment. Visit Dolphin at booth 418.",http://www.yourdolphin.com,Blind/Low Vision; Educational Software; Learning Disabilities; Software,,2024,True,True
361,Dot Incorporation,,0,"We are a Seoul, Korea-based company that provides never-before-seen, cutting-edge technology to grant mobility, confidence, and independence to those living with daily challenges. To solve the invisible information accessibility gap existing everywhere, Dot has self-developed an innovative and futuristic multi-actuator and applied it to its products, solving the basic problems of size, price, and functions of the existing braille devices for visually impaired people.",http://www.dotincorp.com ,Blind/Low Vision; Daily Living; Learning Disabilities; Telecommunication Devices,,2024,True,True
571,Dream Vision Group,411,1,"Dream Vision Group is the North American Distributor of Handy Tech braille products by Help Tech. These are the only braille displays offering ergonomically curved braille cells and Active Tactile Control (ATC). ATC is touch-responsive braille cell technology that enables many unique features, including capturing and analyzing student reading data and creating custom reading profiles. Email info@dvg-llc.com, call 512-662-1629, or visit us at Booth 411 to learn more.",http://www.dvg-llc.com,Blind/Low Vision,,2024,True,True
613,Case for Vision LLC,,0,"At Case For Vision, we design and manufacture assistive devices for visually impaired people or those with age-related vision loss. Our mission is to offer affordable and intuitive alternatives to the expensive magnifiers currently on the market. Case For Vision and its sister company, Stand For Vision, are distributors of popular assistive devices from leading European manufacturers, such as VisioBraille and Kobavision.",http://www.caseforvision.com,Blind/Low Vision,,2024,True,True
56,Duxbury Systems,,0,"DBT 12.7 braille translation software for Windows & Mac, including mathematics and graphics support in many world languages.
eBrailler Cosmo Brailler Writer and BERT Remote Education Software.
NimPro for ePub & publisher files.",http://www.DuxburySystems.com,Agencies/Services; Blind/Low Vision; Daily Living; Educational Software; Learning Disabilities; Other; Software,,2024,True,True
563,East Texas Lighthouse For The Blind,,0,"We empower the blind through rehabilitation, education, training, and employment. Our programs include regional, state, and national training.",http://www.easttexaslighthouse.org,Agencies/Services; Blind/Low Vision; Other; Software,,2024,True,True
632,Echo Labs,,0,"We help universities nationwide save millions on captioning. Slash your bill and get next-day delivery by default, all while maintaining ADA accuracy. CSUN attendees get a complementary and unrestricted two-week trial by texting 470-261-1343.",http://el.ai,Deaf & Hard of Hearing; Educational Software; Software,,2024,True,True
617,EMVI.AI,,0,"EMVI is pioneering the world's first all-in-one hands-free application that specifically meets the needs of people with visual impairment by integrating mobility safety features (e.g., obstacle detection, stairs, step hazards, drop-offs, crosswalk identification, etc.) and detailed scenery descriptions (e.g., bus and bus number detection, entrance identification, product recognition, etc.). Discover the world through EMVI's ability to bridge your last mile and enhance your quality of life.",http://www.emvi.ai,Blind/Low Vision,,2024,True,True
492,Envision,,0,"Envision enables people who are blind or who have low vision unobtrusive access to the visual world through its award-winning smart glasses and apps. From ground-breaking AI-powered visual assistance to real-time text recognition, scene descriptions, voice controls and hands-free video calling, Envision is always innovating for inclusivity.",http://www.LetsEnvision.com,Blind/Low Vision; Daily Living; Learning Disabilities; Software; Telecommunication Devices,,2024,True,True
380,eSight,,0,"eSight is the enhanced vision-platform empowering individuals with sight loss to see new possibilities. A clinically-validated Class 1 Medical Device, eSight is worn daily by thousands of people with best-corrected visual acuity of 20/60-20/800 caused by 24 different eye conditions including macular degeneration, diabetic retinopathy, and Stargardt's disease. Wearing eSight, many achieve 20/20 and retain 100% mobility. Learn more at www.eSightEyewear.com.",http://www.esighteyewear.com ,Assistive Mobility; Blind/Low Vision,,2024,True,True
498,"Evinced, Inc.",,0,"Evinced is the rapidly growing technology leader in digital accessibility software, helping enterprises make their web and mobile offerings accessible to everyone. Its AI-enabled products save developer time and reduce risk via proprietary discovery and analysis algorithms that integrate directly into software development pipelines.",http://www.evinced.com,Other; Software,,2024,True,True
547,Feeldom,,0,"Feeldom is a small team of designers and craftspeople from Seoul, S. Korea, who handcraft premium wheelchair bags, low-vision backpacks, and adaptive gear. We hand-pick the best materials and make everything ourselves because we believe the disability community deserves to look good and have gear engineered for the individual's lifestyle. Feeldom's award-winning designs are based 100% on user feedback from people with disabilities, so we're continually upgrading our products to serve you.",http://www.feeldomlife.com,Assistive Mobility; Blind/Low Vision; Daily Living; Other,,2024,True,True
480,Ghotit LTD,,0,"Ghotit offers desktop-based writing and reading solutions that improve productivity and writing quality. Initially designed for individuals with dyslexia and dysgraphia, these solutions have evolved to cater to diverse user needs. Ghotit's desktop application is a preferred choice for organizations with high data privacy and security concerns. Its low-cost Total Cost of Ownership (TCO) solution serves multiple users with different needs.",http://www.ghotit.com,Learning Disabilities; Software,,2024,True,True
307,Glean,,0,"Glean’s personal study app creates confident learners. Students capture everything from class, stay organized, review the content at their own pace, and build personalized resources through a structured learning process. Glean for Education solves how you provide effective note-taking accommodations, improving student success and retention. More than 750 institutions use Glean to reduce stress, boost confidence, and improve grades.",http://glean.co,Educational Software; Learning Disabilities; Software,,2024,True,True
576,Glidance,,0,"Founded by Amos Miller, who led Microsoft’s Soundscape project, Glidance is transforming personal robotics by using AI and advanced technology to solve real human needs. Working with engineers, designers, and a community of over 8,000 blind and low vision individuals, Glidance is developing Glide, the world’s first Intelligent Guide. Quick to learn, easy to use, and affordable, Glide helps people navigate more safely, confidently, and independently.",http://glidance.io,Assistive Mobility; Blind/Low Vision; Cognitive; Daily Living; Deaf & Hard of Hearing; Learning Disabilities; Software,,2024,True,True
490,GoodMaps,,0,"Experience the future of indoor navigation through GoodMaps’ innovative mapping technology. With its sustainable, infrastructure-free implementation – not to mention an accessible, user-friendly, and efficient interface – it provides unparalleled access and a fully immersive journey that will empower everyone to explore more precisely.
GoodMaps makes the world’s indoor spaces more inclusive, interactive, and joyful for everyone.",http://www.goodmaps.com,Blind/Low Vision; Software,,2024,True,True
381,GrackleDocs,,0,"GrackleDocs is a pioneering software and services company dedicated to enhancing digital accessibility. At the heart of our mission lies a commitment to ensuring that digital content is easily accessible and navigable for everyone, regardless of physical or cognitive disabilities.
We specialize in offering innovative solutions that help our customers comply with international accessibility standards, making their digital documents and other online material universally accessible.",http://www.grackledocs.com,Agencies/Services; Blind/Low Vision; Cognitive; Educational Software; Software,,2024,True,True
585,GrandCare Shiftability,,0,"Proven to reduce staffing costs, GrandCare is a remote monitoring touch platform to help individuals and those who support them. The locked-down, personalized touchscreen provides to-do checklists, reminders, HIPAA video chat, games, videos, and more. Activity & telehealth sensors alert remote caregivers when additional support is needed. ShiftAbility is a transformation consulting group that assists agencies in making a shift to technology-first using GrandCare and the Smart Living Model.",http://www.grandcare.com,Cognitive; Daily Living; Software; Telecommunication Devices,,2024,True,True
73,Hamilton CapTel,,0,"When it comes to hearing on the phone, Hamilton® CapTel® can make all the difference. For individuals with hearing loss, reliable captions of what's said over the phone ensure clarity on every call. Captions are available at home, at work, and on the go on various captioned telephones, smart devices, and Cisco® business phones. For traditional Relay services, Hamilton Relay® provides Telecommunications Relay Services for the State of California.",http://www.hamiltoncaptel.com,Deaf & Hard of Hearing; Telecommunication Devices,,2024,True,True
608,Handi Exceller,,0,"Handi Exceller designed this product to respond to a specific problem: How to offer a learning experience that is fun, independent, and inclusive.
In partnership with a Braille Teacher, a visually impaired colleague, and an expert seeking to address this point, we developed Br’eye, an innovative braille learning solution aiming to be evolving, customizable, and adaptative. Our mission is to render the learning of braille a unique experience.",http://handiexceller.com,Blind/Low Vision; Educational Software; Learning Disabilities,,2024,True,True
243,Harpo Sp. z o.o,,0,"Harpo’s mission is to create solutions for people with vision and communication impairments so that they can interact with the world, realize their ambitions, and help the world see them for the talented people they are. Our products have been delivered to all corners of the world. Our products provide the quality, innovation, and practicality our customers seek. Come to our booth and see our new product - BraillePen24 - a super-slim mobile braille notetaker.",http://int.harpo.com.pl,Alternative Input/Keyboard Devices; Blind/Low Vision,,2024,True,True
75,"HIMS, Inc.",,0,"Check out the new products from HIMS. HIMS, Inc. is a global manufacturer and distributor that has provided Braille devices since 1999. At HIMS Inc., innovation is driven by feedback from customers and employees. Stop by and check out our new Braille product.",http://www.hims-inc.com ,Blind/Low Vision,,2024,True,True
79,HumanWare,,0,"HumanWare, a member of EssilorLuxottica, creates solutions empowering people with vision loss. Since 1988, HumanWare has developed assistive technologies such as video magnifiers, braille devices, audio assistants, and GPS, helping students, seniors, and professionals with visual impairments to see the world differently and gain greater autonomy.",http://www.humanware.com,Assistive Mobility; Blind/Low Vision; Daily Living; Deaf & Hard of Hearing,,2024,True,True
596,IAccessible Inc.,,0,"IAccessible, iaccessible.net, is a disability-owned social enterprise set up to connect product makers and enterprises to people with disabilities. Trusted by partners like Adobe, SAP, the Compass Group, and others, we have years of experience driving accessibility and inclusion.",http://iaccessible.net,Agencies/Services; Blind/Low Vision; Cognitive; Deaf & Hard of Hearing; Learning Disabilities; Software,,2024,True,True
480,Ghotit LTD,,0,"Ghotit offers desktop-based writing and reading solutions that improve productivity and writing quality. Initially designed for individuals with dyslexia and dysgraphia, these solutions have evolved to cater to diverse user needs. Ghotit's desktop application is a preferred choice for organizations with high data privacy and security concerns. Its low-cost Total Cost of Ownership (TCO) solution serves multiple users with different needs.",http://www.ghotit.com,Learning Disabilities; Software,,2024,True,True
440,Index Braille,,0,"Braille printing made easy! Index Braille has manufactured braille embossers since 1982. Basic-D, Everest-D, BrailleBox, and FanFold-D V5 are presented at the Index Braille or HumanWare booth at CSUN. The BrailleApp supports direct printing from common operating systems in more than 150 braille languages (literary & contracted braille). Supports standard files such as doc, docx, pdf, and epub3.",http://www.indexbraille.com,Blind/Low Vision,,2024,True,True
616,InnoCaption,,0,"InnoCaption is the only mobile app that offers real-time captioning of phone calls through live stenographers and automated speech recognition software. Our real-time captioning technology makes phone calls easy and accessible for the deaf and hard-of-hearing community. Funded by the FCC, InnoCaption is offered at no cost to eligible users in the United States. For more information, visit www.innocaption.com or email us at support@innocaption.com.",http://www.innocaption.com,Deaf & Hard of Hearing; Telecommunication Devices,,2024,True,True
549,Inspiration,,0,"Simple to use but powerful in its impact on users, Inspiration is the ideal visual thinking tool for easily creating mind maps, concept maps, graphic organizers, outlines, and presentations! Our visual mapping tool makes it easy to quickly capture and visually organize your ideas to communicate concepts and strengthen understanding. Transfer your visual diagram to a written outline in just one click, perfect for structuring writing plans for papers and reports.",http://www.inspiration-at.com,Software,,2024,True,True
600,International Association of Accessibility Professionals (IAAP),,0,"The mission of the International Association of Accessibility Professionals (IAAP), a division of the Global Initiative for Inclusive ICT’s (G3ict), is to define, promote, improve, and diversify the accessibility profession globally through certification, education, and networking to enable the creation of accessible products, content, services, and environments.",http://www.accessibilityassociation.org,Agencies/Services,,2024,True,True
553,Inventivio,,0,"The new Tactonom Reader enables blind people to access, understand, and learn with graphics independently. The interactive system is especially suited for education because it allows users to work with the same learning formats as sighted people. This is achieved by augmenting tactile information with additional audio explanations about what you sense under your fingertips. Discover how the Tactonom Reader enables blind people to realize their full educational potential.",http://www.tactonom.com,Blind/Low Vision,,2024,True,True
213,Irie-AT Inc.,,0,"Irie-AT joins ViewPlus Technologies for CSUN 2024! Visit us for the latest video magnification, braille embossers, tactile graphics solutions, scan/read devices, and more! Highlights include NEW VP Rogue embossers, NEW CloverNote magnifier, IRIE braille embosser, and unique tactile graphics solutions.",http://www.irie-at.com,Blind/Low Vision; Daily Living; Educational Software; Learning Disabilities; Software,,2024,True,True
303,JW.ORG,,0,"JW.ORG, the world's largest Bible educational website, makes spirituality accessible with RTF, Notetaker, MP3, and screen readers. Free downloads are available in over 1000 languages, with braille literature in over 40. Age-appropriate large print, audio, and braille items are provided without charge, as we encourage all to have a better quality of life.",http://www.jw.org,Blind/Low Vision; Daily Living; Deaf & Hard of Hearing; Educational Software; Other,,2024,True,True
627,"Kalogon, Inc",,0,"Kalogon is on a mission to empower people to live an active, seated lives by creating medically validated, innovative solutions that prevent pressure injuries & increase comfort. By prioritizing empathy-driven design, we develop dynamic, cutting-edge seating solutions that enhance mobility, help alleviate discomfort, & improve overall quality of life for those who spend an extended time sitting. Visit us to learn more about our patent-pending technology, and products Orbiter and Booster.",http://www.kalogon.com,Assistive Mobility; Other,,2024,True,True
230,Kurzweil Education,,0,"At Kurzweil Education, we believe every learner deserves the opportunity to unlock their potential. Our literacy technology offers multi-sensory approaches to reading, comprehension, study skills, writing, and test-taking so everyone can become independent, confident learners who can achieve rigorous academic goals.",http://www.kurzweiledu.com,Blind/Low Vision; Learning Disabilities; Software,,2024,True,True
463,Level Access,,0,"Level Access empowers organizations with advanced software, expert-managed services, and training solutions to create accessible and legally compliant digital experiences. Level Access' Technology provides advanced testing, monitoring, and reporting access. Managed services include manual evaluation, remediation guidance, training and enablement, in-house legal support, and accessibility program management.",http://levelaccess.com,Agencies/Services; Educational Software; Other; Software,,2024,True,True
606,Lightvision,,0,"We provide low-vision individuals with an AI video analysis-based bus route number guidance solution. We aim to enhance the mobility rights of low-vision individuals through AI technology. Bus route number detection and recognition capability (front, side, and rear recognition). Guidance features based on voice, text, and vibration. GPS-based destination and bus route number search functionality. Customized UI/UX app for individuals with low vision",http://www.lightvision.kr/,Assistive Mobility; Blind/Low Vision; Daily Living; Software,,2024,True,True
98,"LS&S, LLC",,0,"LS&S is a national catalog company selling products for the visually impaired and hard of hearing. Our products range from simple yet crucial daily living aids, such as talking watches and low-vision calendars, to complex electronic magnification products. We have been in business for over 35 years and bring a strong depth of product knowledge to all of our customer contacts. Our sales and customer service staff is often considered the best in the business.",http://www.LSSproducts.com,Blind/Low Vision; Daily Living; Telecommunication Devices,,2024,True,True
99,LVI Low Vision International,,0,"LVI Low Vision International designs, develops, and produces low-vision products with high reliability, simplicity, and serviceability standards. With over 40 years in the industry, LVI works towards even more innovative solutions that will make every day easier for people with visual impairments.",http://www.lviamerica.com,Blind/Low Vision; Software,,2024,True,True
